scenario,trajectory,config,config_label,oil,oil_label,solar_mult,land_screen,jera_capital,solar_basis,kind,rescaled,short_label,description,total_cost_bn,conv_capital_bn,mip_gap_requested,mip_gap_achieved,source_dir
nlv2a_C1_LSFO250_refbrent,Accelerated rooftop,C1_LSFO250,"New LSFO plant, 250 MW",refbrent,EIA reference,1.0,Reference,bare-EPC,ATB Moderate,model,0,"New LSFO plant, 250 MW · EIA-ref oil · accel rooftop","A new 250 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow EIA's reference forecast. Rooftop solar accelerates to about 2,120 MW by 2050 (sellback opened up).",25.4295,0.0,0.001,0.000976054,R010_outputs_nlv2a_C1_LSFO250_refbrent
nlv2a_C4_NOTHERMAL_refbrent,Accelerated rooftop,C4_NOTHERMAL,No new fuel plant,refbrent,EIA reference,1.0,Reference,bare-EPC,ATB Moderate,model,0,No new fuel plant · EIA-ref oil · accel rooftop,"No new fuel-burning plant is built; solar, storage, wind, and geothermal grow on top of the existing fleet. Oil prices follow EIA's reference forecast. Rooftop solar accelerates to about 2,120 MW by 2050 (sellback opened up).",24.9622,0.0,0.001,0.000996066,R010_outputs_nlv2a_C4_NOTHERMAL_refbrent
nlv2a_C5_LNG375_highbrent,Accelerated rooftop,C5_LNG375,"New LNG plant, 375 MW",highbrent,Market 90th percentile,1.0,Reference,bare-EPC,ATB Moderate,model,0,"New LNG plant, 375 MW · high oil · accel rooftop","LNG imports begin in 2030 and a new 375 MW LNG plant is built (the cost-minimizing size); no Waiau Repower. Oil prices follow the market's 90th-percentile (high) path from Brent options. Rooftop solar accelerates to about 2,120 MW by 2050 (sellback opened up).",27.1485,0.0,0.001,0.000741998,R010_outputs_nlv2a_C5_LNG375_highbrent
nlv2a_C5_LNG375_lowbrent,Accelerated rooftop,C5_LNG375,"New LNG plant, 375 MW",lowbrent,Market 10th percentile,1.0,Reference,bare-EPC,ATB Moderate,model,0,"New LNG plant, 375 MW · low oil · accel rooftop","LNG imports begin in 2030 and a new 375 MW LNG plant is built (the cost-minimizing size); no Waiau Repower. Oil prices follow the market's 10th-percentile (low) path from Brent options. Rooftop solar accelerates to about 2,120 MW by 2050 (sellback opened up).",21.5841,0.0,0.001,0.000999068,R010_outputs_nlv2a_C5_LNG375_lowbrent
nlv2a_C5_LNG375_refbrent,Accelerated rooftop,C5_LNG375,"New LNG plant, 375 MW",refbrent,EIA reference,1.0,Reference,bare-EPC,ATB Moderate,model,0,"New LNG plant, 375 MW · EIA-ref oil · accel rooftop","LNG imports begin in 2030 and a new 375 MW LNG plant is built (the cost-minimizing size); no Waiau Repower. Oil prices follow EIA's reference forecast. Rooftop solar accelerates to about 2,120 MW by 2050 (sellback opened up).",25.3093,0.0,0.001,0.000999662,R010_outputs_nlv2a_C5_LNG375_refbrent
nlv2a_be_pv15_C4_NOTHERMAL_refbrent,Accelerated rooftop,C4_NOTHERMAL,No new fuel plant,refbrent,EIA reference,1.5,Reference,bare-EPC,ATB Moderate,model,0,No new fuel plant · EIA-ref oil · accel rooftop · solar +80%,"No new fuel-burning plant is built; solar, storage, wind, and geothermal grow on top of the existing fleet. Oil prices follow EIA's reference forecast. Rooftop solar accelerates to about 2,120 MW by 2050 (sellback opened up). Utility-solar capital carries an 80% Hawaiʻi premium (1.5x the study baseline).",26.8518,0.0,0.001,0.00104541,R010_outputs_nlv2a_be_pv15_C4_NOTHERMAL_refbrent
nlv2a_be_pv17_C4_NOTHERMAL_refbrent,Accelerated rooftop,C4_NOTHERMAL,No new fuel plant,refbrent,EIA reference,1.7,Reference,bare-EPC,ATB Moderate,model,0,No new fuel plant · EIA-ref oil · accel rooftop · solar +104%,"No new fuel-burning plant is built; solar, storage, wind, and geothermal grow on top of the existing fleet. Oil prices follow EIA's reference forecast. Rooftop solar accelerates to about 2,120 MW by 2050 (sellback opened up). Utility-solar capital carries a 104% Hawaiʻi premium (1.7x the study baseline).",27.5089,0.0,0.001,0.000991139,R010_outputs_nlv2a_be_pv17_C4_NOTHERMAL_refbrent
nlv2a_plan_igp_alt_xf_hybrid_refbrent,Accelerated rooftop,plan_igp_alt_xf,Published plan: IGP base (rescaled to this trajectory),refbrent,EIA reference,1.0,Reference,bare-EPC,ATB Moderate,plan,1,Published plan: IGP base (rescaled to this trajectory) · EIA-ref oil · accel rooftop,"Generation is constrained to the mix published in Hawaiian Electric's integrated grid plan (base scenario), rescaled to the grid demand this rooftop trajectory leaves to serve. The cost is what running that mix costs in this framework, not a build the model chose. This is the rescaled variant: the same published plan applied to a rooftop trajectory other than the one its own customer-solar assumptions track, so the two plans can be compared on common ground. Its cost is not comparable with the same plan on its home trajectory, which serves a different amount of grid demand. Oil prices follow EIA's reference forecast. Rooftop solar accelerates to about 2,120 MW by 2050 (sellback opened up).",27.1204,0.0,0.0025,0.00179286,outputs_nlv2a_plan_igp_alt_xf_hybrid_refbrent
nlv2a_plan_igp_pref_hybrid_refbrent,Accelerated rooftop,plan_igp_pref,Published plan: IGP land-constrained,refbrent,EIA reference,1.0,Reference,bare-EPC,ATB Moderate,plan,0,Published plan: IGP land-constrained · EIA-ref oil · accel rooftop,"Generation is constrained to the mix published in Hawaiian Electric's integrated grid plan (land-constrained scenario, the plan of record), rescaled to the grid demand this rooftop trajectory leaves to serve. The cost is what running that mix costs in this framework, not a build the model chose. Oil prices follow EIA's reference forecast. Rooftop solar accelerates to about 2,120 MW by 2050 (sellback opened up).",27.7057,0.0,0.0025,0.0065395,outputs_nlv2a_plan_igp_pref_hybrid_refbrent
nlv2a_plan_igp_pref_pv15_hybrid_refbrent,Accelerated rooftop,plan_igp_pref,Published plan: IGP land-constrained,refbrent,EIA reference,1.5,Reference,bare-EPC,ATB Moderate,plan,0,Published plan: IGP land-constrained · EIA-ref oil · accel rooftop · solar +80%,"Generation is constrained to the mix published in Hawaiian Electric's integrated grid plan (land-constrained scenario, the plan of record), rescaled to the grid demand this rooftop trajectory leaves to serve. The cost is what running that mix costs in this framework, not a build the model chose. Oil prices follow EIA's reference forecast. Rooftop solar accelerates to about 2,120 MW by 2050 (sellback opened up). Utility-solar capital carries an 80% Hawaiʻi premium (1.5x the study baseline).",28.7709,0.0,0.0025,0.00233696,outputs_nlv2a_plan_igp_pref_pv15_hybrid_refbrent
