outputs_dir,basis,scenario,total_cost,phrase,relmipgap_achieved,absmipgap,log,log_mtime
R010_outputs_dga_C1_LSFO250_refbrent,R010_outputs,dga_C1_LSFO250_refbrent,29622532482.62960,optimal integer solution within mipgap or absmipgap,0.000950274,2.81495e+07,corr-percell_14210814_144.out.gz,2026-07-27 09:20
R010_outputs_dga_C4_NOTHERMAL_refbrent,R010_outputs,dga_C4_NOTHERMAL_refbrent,29136511672.81542,optimal integer solution within mipgap or absmipgap,0.000996025,2.90207e+07,corr-percell_14210814_145.out.gz,2026-07-28 07:21
R010_outputs_dga_C5_LNG375_refbrent,R010_outputs,dga_C5_LNG375_refbrent,29315039231.37810,optimal integer solution within mipgap or absmipgap,0.000820976,2.40669e+07,corr-percell_14210814_148.out.gz,2026-07-27 12:18
R010_outputs_dga_ps_C4_NOTHERMAL_refbrent,R010_outputs,dga_ps_C4_NOTHERMAL_refbrent,29365609907.65193,optimal integer solution within mipgap or absmipgap,0.000990979,2.91007e+07,pin-dga-r_14278728_0.out.gz,2026-08-02 21:00
R010_outputs_dgb_C1_LSFO250_refbrent,R010_outputs,dgb_C1_LSFO250_refbrent,27922369995.18153,optimal integer solution within mipgap or absmipgap,0.000892615,2.49239e+07,corr-percell_14210814_135.out.gz,2026-07-27 07:13
R010_outputs_dgb_C4_NOTHERMAL_refbrent,R010_outputs,dgb_C4_NOTHERMAL_refbrent,27490025274.14066,optimal integer solution within mipgap or absmipgap,0.000884556,2.43165e+07,corr-percell_14210814_136.out.gz,2026-07-27 08:22
R010_outputs_dgb_C5_LNG375_refbrent,R010_outputs,dgb_C5_LNG375_refbrent,27602055339.95621,optimal integer solution within mipgap or absmipgap,0.000872925,2.40945e+07,corr-percell_14209686_12.out.gz,2026-07-25 20:29
R010_outputs_dgb_ps_C4_NOTHERMAL_refbrent,R010_outputs,dgb_ps_C4_NOTHERMAL_refbrent,27518180237.15884,time limit with integer solution,0.00109118,3.00272e+07,pin-dgb-r_14281234_0.out.gz,2026-08-02 03:15
R010_outputs_dgs_C1_LSFO250_refbrent,R010_outputs,dgs_C1_LSFO250_refbrent,28604782946.58530,optimal integer solution within mipgap or absmipgap,0.000915142,2.61774e+07,corr-percell_14210814_139.out.gz,2026-07-27 07:44
R010_outputs_dgs_C4_NOTHERMAL_refbrent,R010_outputs,dgs_C4_NOTHERMAL_refbrent,28155966368.64305,optimal integer solution within mipgap or absmipgap,0.000999694,2.81473e+07,corr-percell_14210814_140.out.gz,2026-07-29 01:02
R010_outputs_dgs_C5_LNG375_refbrent,R010_outputs,dgs_C5_LNG375_refbrent,28291711019.29453,optimal integer solution within mipgap or absmipgap,0.000984329,2.78483e+07,corr-percell_14210814_143.out.gz,2026-07-28 01:18
R010_outputs_dgs_ps_C4_NOTHERMAL_refbrent,R010_outputs,dgs_ps_C4_NOTHERMAL_refbrent,28166420013.73997,time limit with integer solution,0.00105833,2.98093e+07,pin-dgs-r_14283962_0.out.gz,2026-08-03 07:54
R010_outputs_nlv2a_C1_LSFO250_refbrent,R010_outputs,nlv2a_C1_LSFO250_refbrent,25429470720.21333,optimal integer solution within mipgap or absmipgap,0.000976054,2.48205e+07,corr-percell_14722833_0.out,2026-09-06 18:06
R010_outputs_nlv2a_C5_LNG375_highbrent,R010_outputs,nlv2a_C5_LNG375_highbrent,27148533638.25971,optimal integer solution within mipgap or absmipgap,0.000741998,2.01442e+07,corr-percell_14722833_2.out,2026-09-06 17:22
R010_outputs_nlv2a_C5_LNG375_lowbrent,R010_outputs,nlv2a_C5_LNG375_lowbrent,21584096102.25975,optimal integer solution within mipgap or absmipgap,0.000999068,2.1564e+07,corr-percell_14722833_3.out,2026-09-06 17:29
R010_outputs_nlv2a_C5_LNG375_refbrent,R010_outputs,nlv2a_C5_LNG375_refbrent,25309343697.56221,optimal integer solution within mipgap or absmipgap,0.000999662,2.53008e+07,corr-percell_14722833_4.out,2026-09-06 18:54
R010_outputs_nlv2a_plan_igp_alt_xf_hybrid_refbrent,R010_outputs,nlv2a_plan_igp_alt_xf_hybrid_refbrent,26107962238.72206,time limit with integer solution,0.00161418,4.2143e+07,solve_refine_plan_hybrid.slurm_14390525_9.out.gz,2026-08-07 20:42
R010_outputs_nlv2a_plan_igp_pref_hybrid_refbrent,R010_outputs,nlv2a_plan_igp_pref_hybrid_refbrent,26472550115.16217,time limit with integer solution,0.00313225,8.29188e+07,solve_refine_plan_hybrid.slurm_14390525_1.out.gz,2026-08-07 20:42
R010_outputs_nlv2a_plan_igp_pref_pv15_hybrid_refbrent,R010_outputs,nlv2a_plan_igp_pref_pv15_hybrid_refbrent,27523967814.09821,time limit with integer solution,0.00231964,6.38458e+07,solve_refine_plan_hybrid.slurm_14390525_0.out.gz,2026-08-07 20:46
R010_outputs_nlv2a_plan_igp_pref_pv17_hybrid_refbrent,R010_outputs,nlv2a_plan_igp_pref_pv17_hybrid_refbrent,27917601243.57288,time limit with integer solution,0.00303492,8.47278e+07,solve_refine_plan_hybrid.slurm_14390525_7.out.gz,2026-08-07 20:43
R010_outputs_nlv2b_C1_LSFO250_futbrent_adv,R010_outputs,nlv2b_C1_LSFO250_futbrent_adv,23641633083.93057,optimal integer solution within mipgap or absmipgap,0.000987162,2.33381e+07,corr-percell_14722833_8.out,2026-09-06 17:54
R010_outputs_nlv2b_C1_LSFO250_highbrent,R010_outputs,nlv2b_C1_LSFO250_highbrent,28213384828.07333,optimal integer solution within mipgap or absmipgap,0.000968319,2.73196e+07,corr-percell_14722833_9.out,2026-09-06 16:58
R010_outputs_nlv2b_C1_LSFO250_highbrent_adv,R010_outputs,nlv2b_C1_LSFO250_highbrent_adv,26513958501.30407,optimal integer solution within mipgap or absmipgap,0.000954542,2.53087e+07,corr-percell_14722833_10.out,2026-09-06 16:22
R010_outputs_nlv2b_C1_LSFO250_lowbrent_adv,R010_outputs,nlv2b_C1_LSFO250_lowbrent_adv,20823933813.42466,optimal (non-)integer solution within mipgap or absmipgap,0.00078657,1.63795e+07,corr-percell_14722833_12.out,2026-09-06 17:23
R010_outputs_nlv2b_C1_LSFO250_refbrent,R010_outputs,nlv2b_C1_LSFO250_refbrent,26530930230.82521,optimal integer solution within mipgap or absmipgap,0.000959916,2.54675e+07,corr-percell_14722833_13.out,2026-09-06 17:29
R010_outputs_nlv2b_C1_LSFO250_refbrent_adv,R010_outputs,nlv2b_C1_LSFO250_refbrent_adv,25054005204.16209,optimal integer solution within mipgap or absmipgap,0.000805602,2.01836e+07,corr-percell_14722833_14.out,2026-09-06 16:46
R010_outputs_nlv2b_C2_LSFO375_futbrent,R010_outputs,nlv2b_C2_LSFO375_futbrent,25384590063.39141,optimal integer solution within mipgap or absmipgap,0.000974928,2.47481e+07,corr-percell_14722833_15.out,2026-09-06 17:37
R010_outputs_nlv2b_C2_LSFO375_futbrent_adv,R010_outputs,nlv2b_C2_LSFO375_futbrent_adv,24032112330.73698,optimal integer solution within mipgap or absmipgap,0.000886448,2.13032e+07,corr-percell_14722833_16.out,2026-09-06 19:08
R010_outputs_nlv2b_C2_LSFO375_highbrent,R010_outputs,nlv2b_C2_LSFO375_highbrent,28612012910.31777,optimal integer solution within mipgap or absmipgap,0.0009065,2.59368e+07,corr-percell_14722833_17.out,2026-09-06 16:51
R010_outputs_nlv2b_C2_LSFO375_highbrent_adv,R010_outputs,nlv2b_C2_LSFO375_highbrent_adv,26955454529.60727,optimal integer solution within mipgap or absmipgap,0.000738236,1.98995e+07,corr-percell_14722833_18.out,2026-09-06 17:08
R010_outputs_nlv2b_C2_LSFO375_lowbrent,R010_outputs,nlv2b_C2_LSFO375_lowbrent,22412656239.43943,optimal integer solution within mipgap or absmipgap,0.000935772,2.09731e+07,corr-percell_14722833_19.out,2026-09-06 18:02
R010_outputs_nlv2b_C2_LSFO375_lowbrent_adv,R010_outputs,nlv2b_C2_LSFO375_lowbrent_adv,21225525795.35659,optimal integer solution within mipgap or absmipgap,0.000954,2.02492e+07,corr-percell_14722833_20.out,2026-09-06 18:01
R010_outputs_nlv2b_C2_LSFO375_refbrent,R010_outputs,nlv2b_C2_LSFO375_refbrent,26890192348.67406,optimal integer solution within mipgap or absmipgap,0.000998937,2.68616e+07,corr-percell_14722833_21.out,2026-09-06 19:49
R010_outputs_nlv2b_C2_LSFO375_refbrent_adv,R010_outputs,nlv2b_C2_LSFO375_refbrent_adv,25430936433.26188,optimal integer solution within mipgap or absmipgap,0.000794171,2.01965e+07,corr-percell_14722833_22.out,2026-09-06 16:40
R010_outputs_nlv2b_C3_LSFO500_futbrent,R010_outputs,nlv2b_C3_LSFO500_futbrent,25823322637.69999,optimal (non-)integer solution within mipgap or absmipgap,0.000892554,2.30487e+07,corr-percell_14722833_23.out,2026-09-07 03:40
R010_outputs_nlv2b_C3_LSFO500_futbrent_adv,R010_outputs,nlv2b_C3_LSFO500_futbrent_adv,24485939659.97320,optimal integer solution within mipgap or absmipgap,0.000981365,2.40296e+07,corr-percell_14722833_24.out,2026-09-06 17:27
